"Abbrev","Full Title","Trnsl. Title","Publ.","ISSN","New","Cover-to-cover","Book Ser"
"Rev. Mat. Complut.","Revista Matematica Complutense","","Springer Italia, Milan.","1139-1138","N","Y","N"
"Rev. Mat. Iberoam.","Revista Matematica Iberoamericana","","R. Soc. Mat. Esp., Madrid.","0213-2230","N","Y","N"
"Rev. Mat. Teor. Apl.","Revista de Matematica. Teoria y Aplicaciones","","Centro Invest. Mat. Pura Apl. (CIMPA), San Jose.","1409-2433","N","N","N"
"Rev. Math. Math. Phys.","Reviews in Mathematics and Mathematical Physics","","Camb. Sci. Publ., Cambridge.","1024-5278","N","N","Y"
"Rev. Math. Phys.","Reviews in Mathematical Physics. A Journal for Both Review and Original Research Papers in the Field of Mathematical Physics","","World Sci. Publ., Singapore.","0129-055X","N","Y","N"
"Rev. Mex. Fis. E","Revista Mexicana de Fisica E. Publicacion de Ensenanza, Historia y Filosofia de la Sociedad Mexicana de Fisica","","Soc. Mex. Fis., Mexico.","1870-3542","N","N","N"
"Rev. Mexicana Fis.","Revista Mexicana de Fisica","","Soc. Mex. Fis., Mexico.","0035-001X","N","N","N"
"Rev. Modern Phys.","Reviews of Modern Physics","","Amer. Phys. Soc., College Park, MD.","0034-6861","N","N","N"
"Rev. Nonlinear Dyn. Complex.","Reviews of Nonlinear Dynamics and Complexity","","Wiley-VCH, Weinheim.","","N","N","Y"
"Rev. R. Acad. Cienc. Exactas Fis. Nat. (Esp.)","Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales (Espana)","","Real Acad. Cienc. Exact. Fis. Natur., Madrid.","1137-2141","N","N","N"
"Rev. R. Acad. Cienc. Exactas Fis. Nat. Ser. A Mat. RACSAM","Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie A. Matematicas. RACSAM","","Springer Italia, Milan.","1578-7303","N","N","N"
"Rev. R. Acad. Cienc. Exactas Fis. Quim. Nat. Zaragoza (2)","Revista de la Real Academia de Ciencias Exactas, Fisicas, Quimicas y Naturales de Zaragoza. Serie 2","","Acad. Cienc. Exact. Fis. Quim. Nat. Zaragoza, Zaragoza.","0370-3207","N","N","N"
"Rev. Roumaine Math. Pures Appl.","Revue Roumaine de Mathematiques Pures et Appliquees. Romanian Journal of Pure and Applied Mathematics","","Ed. Acad. Romane, Bucharest.","0035-3965","N","Y","N"
"Rev. Symb. Log.","The Review of Symbolic Logic","","Cambridge Univ. Press, Cambridge.","1755-0203","N","Y","N"
"Rev. Synth. (6)","Revue de Synthese. 6e Serie","","Springer, Paris.","0035-1776","N","N","N"
"Rev. Un. Mat. Argentina","Revista de la Union Matematica Argentina","","Union Mat. Argentina, Bahia Blanca.","0041-6932","N","Y","N"
"REVSTAT","REVSTAT Statistical Journal","","Inst. Nac. Estat. (INE), Lisbon.","1645-6726","N","N","N"
"Rezultaty Issled. Mezhdunar. Geofiz. Proekt.","Rezultaty Issledovanii po Mezhdunarodnym Proektam","Results of Research on International Geophysical Projects","``Nauka'', Moscow.","","Y","N","Y"
"Ric. Mat.","Ricerche di Matematica","","Springer Italia, Milan.","0035-5038","N","Y","N"
"RIMS Kokyuroku Bessatsu","RIMS Kokyuroku Bessatsu","Series of Lecture Notes from RIMS","Res. Inst. Math. Sci. (RIMS), Kyoto.","1881-6193","N","N","Y"
"Risk Eng.","Risk Engineering","","Springer, Cham.","2195-433X","N","N","Y"
"Riv. Math. Univ. Parma (N.S.)","Rivista di Matematica della Universita di Parma. New Series. A Journal of Pure and Applied Mathematics","","Univ. Parma, Parma.","0035-6298","N","Y","N"
"Robototekhn. Gibk. Proizvod. Sist.","Robototekhnika i Gibkie Proizvodstvennye Sistemy","Robotics and Flexible Manufacturing Systems","``Nauka'', Moscow.","","Y","N","Y"
"Rocky Mountain J. Math.","The Rocky Mountain Journal of Mathematics","","Rocky Mountain Math. Consortium, Tempe, AZ.","0035-7596","N","Y","N"
"Rom. J. Math. Comput. Sci.","Romanian Journal of Mathematics and Computer Science","","Tech. Univ. Civil Eng., Bucharest.","2247-689X","N","Y","N"
"Rom. J. Tech. Sci. Appl. Mech.","Romanian Journal of Technical Sciences. Applied Mechanics","","Ed. Acad. Romane, Bucharest.","2601-5811","N","N","N"
"ROMAI J.","ROMAI Journal","","Rom. Soc. Appl. Indust. Math., Pitesti.","1841-5512","N","N","N"
"Rose-Hulman Undergrad. Math. J.","Rose-Hulman Undergraduate Mathematics Journal","","Rose-Hulman Inst. Tech., Terre Haute, IN.","","N","N","N"
"Rostock. Math. Kolloq.","Rostocker Mathematisches Kolloquium","","Univ. Rostock, Rostock.","0138-3248","N","N","N"
"Routledge Contemp. Read. Philos.","Routledge Contemporary Readings in Philosophy","","Routledge/Taylor & Francis, London.","","N","N","Y"
"Routledge Philos.","Routledge Philosophers","","Routledge/Taylor & Francis, London.","","N","N","Y"
"RR","RR","","Internat. Inst. Appl. Systems Anal., Laxenburg.","","Y","N","Y"
"RR-83","RR-83","","Internat. Inst. Appl. Systems Anal., Laxenburg.","","Y","N","Y"
"RSME Springer Ser.","RSME Springer Series","","Springer, Cham.","2509-8888","N","N","Y"
"RT-11 Tech. User's Ser.","The RT-11 Technical User's Series","","Digital, Burlington, MA.","","Y","N","Y"
"Ruanjian Xuebao","","","","","Y","N","N"
"Russ. J. Math. Phys.","Russian Journal of Mathematical Physics","","MAIK Nauka/Interperiod. Publ., Moscow.","1061-9208","N","Y","N"
"Russian J. Numer. Anal. Math. Modelling","Russian Journal of Numerical Analysis and Mathematical Modelling","","De Gruyter, Berlin.","0927-6467","N","N","N"
"Russian Math. (Iz. VUZ)","Russian Mathematics (Izvestiya VUZ. Matematika)","","Allerton Press, New York.","1066-369X","N","N","N"
"Russian Math. Surveys","Russian Mathematical Surveys","","Russ. Acad. Sci., Moscow.","0036-0279","N","N","N"
"Ryukyu Math. J.","Ryukyu Mathematical Journal","","Univ. Ryukyus, Okinawa.","1344-008X","N","Y","N"
"Sadhana","Sadhana. Academy Proceedings in Engineering Sciences","","Indian Acad. Sci., Bangalore.","0256-2499","N","N","N"
"Sagamore Army Materials Res. Conf. Proc.","Sagamore Army Materials Research Conference Proceedings","","Plenum, New York.","","Y","N","Y"
"Sage Benchmarks Soc. Res. Methods","Sage Benchmarks in Social Research Methods","","Sage, Los Angeles, CA.","","N","N","Y"
"Sage Focus Ed.","Sage Focus Editions","","Sage, Beverly Hills, CA.","","Y","N","Y"
"Saitama Math. J.","Saitama Mathematical Journal","","Saitama Univ., Saitama.","0289-0739","N","Y","N"
"Sampl. Theory Signal Image Process.","Sampling Theory in Signal and Image Processing. An International Journal","","Sampl. Publ., Potsdam, NY.","1530-6429","N","N","N"
"Sankhya A","Sankhya A. Mathematical Statistics and Probability","","Springer India, New Delhi.","0976-836X","N","Y","N"
"Sankhya B","Sankhya B. Applied and Interdisciplinary Statistics","","Springer India, New Delhi.","0976-8386","N","N","N"
"Sao Paulo J. Math. Sci.","Sao Paulo Journal of Mathematical Sciences","","Springer, Cham.","1982-6907","N","Y","N"
"Sarajevo J. Math.","Sarajevo Journal of Mathematics","","Acad. Sci. Arts Bosnia Herzegovina, Sarajevo.","1840-0655","N","Y","N"
"Savoir Mantice","Le Savoir de Mantice","","Honore Champion Ed., Paris.","1262-2869","Y","N","Y"
"Savoirs Actuels (Les Ulis)","Savoirs Actuels (Les Ulis)","Current Scholarship (Les Ulis)","EDP Sci., Les Ulis.","","N","N","Y"
"Savoirs Sci. Prat. Enseign.","Savoirs Scientifiques & Pratiques d'Enseignement","Scientific Knowledge and Teaching Practices","Presses Univ. Limoges , Limoges.","","Y","N","Y"
"Sb. Math.","Sbornik. Mathematics","","Russ. Acad. Sci., Moscow.","1064-5616","N","N","N"
"Scalable Comput. Commun.","Scalable Computing and Communications","","Springer, Cham.","2520-8632","Y","N","Y"
"Scand. Actuar. J.","Scandinavian Actuarial Journal","","Taylor & Francis, Abingdon.","0346-1238","N","N","N"
"Scand. J. Stat.","Scandinavian Journal of Statistics. Theory and Applications","","Wiley-Blackwell, Oxford.","0303-6898","N","Y","N"
"Schatzkammer","Schatzkammer","Repository","Gottfried Wilhelm Leibniz Bibl., Hannover.","","N","N","Y"
"Schaum's Outline Ser. Comput.","Schaum's Outline Series in Computers","","McGraw-Hill, New York.","","Y","N","Y"
"Schr. Carl Friedrich von Siemens Stift.","Schriften der Carl Friedrich von Siemens Stiftung","Publication of the Carl Friedrich von Siemens Foundation","Oldenbourg, Munich.","","Y","N","Y"
"Schr. Wirtsch.inform.","Schriften zur Wirtschaftsinformatik","Publications on information systems","Peter Lang, Frankfurt am Main.","0946-1949","Y","N","Y"
"Schrift. Adam-Ries-Bundes Annaberg-Buchholz","Schriften des Adam-Ries-Bundes Annaberg-Buchholz","Publications of the Adam-Ries-Bund Annaberg-Buchholz","Adam-Ries-Bund, Annaberg-Buchholz.","","N","N","Y"
"Schrift. Wirtschaftspolit. N.F.","Schriften zur Wirtschaftspolitik. Neue Folge","Papers on Economic Policy. New Series","Fischer, Stuttgart.","","Y","N","Y"
"Schriften Wirtschaftswiss. Forsch.","Schriften zur Wirtschaftswissenschaftlichen Forschung","Notes on Economic Research","Forum Acad., Konigstein/Ts.","","Y","N","Y"
"Schriftenreihe Informationsverarbeitung","Schriftenreihe Informationsverarbeitung","Series on Information Processing","Wirtschaft, Berlin.","","Y","N","Y"
"Schriftenreihe Inst. Empirische Wirtschaftsforsch. Univ. Zurich","Schriftenreihe des Instituts fur Empirische Wirtschaftsforschung der Universitat Zurich","Series of the Institute for Empirical Sciences Research of the University of Zurich","Haag+Herchen, Frankfurt am Main.","","Y","N","Y"
"Schriftenreihe Versicher.","Schriftenreihe ``Die Versicherung''","Series ``Insurance''","Gabler, Wiesbaden.","","Y","N","Y"
"Schriftenreihe Wiss. Frieden","Schriftenreihe ``Wissenschaft und Frieden''","Series ``Science and Peace''","Bund Demokrat. Wissenschaftler, Marburg.","","Y","N","Y"
"Sci. Ann. Comput. Sci.","Scientific Annals of Computer Science","","``A. I. Cuza'' Univ. Iasi, Iasi.","1843-8121","N","Y","N"
"Sci. China Inf. Sci.","Science China. Information Sciences","","Sci. China Press, Beijing.","1674-733X","N","N","N"
"Sci. China Math.","Science China. Mathematics","","Sci. China Press, Beijing.","1674-7283","N","Y","N"
"Sci. Comput.","Scientific Computation","","Springer, Cham.","1434-8322","N","N","Y"
"Sci. Concepts Probl.","Sciences: Concepts et Problemes","Sciences: Concepts and Problems","Presses Univ. Franche-Comte, Besancon.","","N","N","Y"
"Sci. Context","Science in Context","","Cambridge Univ. Press, Cambridge.","0269-8897","N","N","N"
"Sci. Econom.","Sciences Economiques","Economic Sciences","Cujas, Paris.","","Y","N","Y"
"Sci. Engrg. Comput.","Scientific and Engineering Computation","","MIT Press, Cambridge, MA.","","N","N","Y"
"Sci. Graeco-Arabica","Scientia Graeco-Arabica","","De Gruyter, Berlin.","1868-7172","N","N","Y"
"Sci. Issues Jan Dlugosz Univ. Czest. Math.","Scientific Issues. Jan Dlugosz University in Czestochowa. Mathematics","","Wydaw. Akad. Jana Dlugosza Czest., Czestochowa.","2450-9302","N","N","N"
"Sci. Math. Jpn.","Scientiae Mathematicae Japonicae","","Inst. Soc. Math. Sci., Osaka.","1346-0862","N","Y","N"
"Sci. Musique Ser. Etudes","Sciences de la Musique. Serie Etudes","Sciences of Music. Studies Series","CNRS Ed., Paris.","1773-7338","N","N","Y"
"Sci. Networks Hist. Stud.","Science Networks. Historical Studies","","Birkhauser/Springer, Cham.","1421-6329","N","N","Y"
"Sci. Psychol.","Scientific Psychology","","Routledge, New York.","","Y","N","Y"
"Sci. Rep. Kanazawa Univ.","The Science Reports of Kanazawa University","","Kanazawa Univ., Inst. Sci. Eng., Kanazawa.","0022-8338","N","N","N"
"Sci. Savoirs","Sciences et Savoirs","Sciences and Knowledge","Les Belles Lettres, Paris.","0184-7155","N","N","Y"
"Sci. Ser. A Math. Sci. (N.S.)","Scientia. Series A. Mathematical Sciences. New Series","","Univ. Tec. Federico Santa Maria, Valparaiso.","0716-8446","N","N","N"
"Sci. Stud. Res. Ser. Math. Inform.","Scientific Studies and Research. Series Mathematics and Informatics","","``Vasile Alecsandri'' Univ. Bacau, Fac. Sci., Bacau.","2457-497X","N","Y","N"
"Sci. Stud./Wet.","Science Studies/Wetenschapsstudies","","D.S.W.O., Leiden.","0928-1134","Y","N","Y"
"Sci. Tech. Perspect. (2)","Sciences et Techniques en Perspective. IIe Serie","","Librairie Blanchard, Paris.","0294-0264","Y","N","N"
"Sci. Technol. Educ. Libr.","Science & Technology Education Library","","Kluwer Acad. Publ., Dordrecht.","","Y","N","Y"
"Sci. Technol. Med. Anc. Cult.","Science, Technology, and Medicine in Ancient Cultures","","De Gruyter, Berlin.","2194-976X","Y","N","Y"
"Sci. Wales","Scientists of Wales","","University of Wales Press, Cardiff.","","N","N","Y"
"SCIAMVS","SCIAMVS. Sources and Commentaries in Exact Sciences","","SCIAMVS, Kyoto.","1345-4617","N","N","N"
"Science","American Association for the Advancement of Science. Science","","Amer. Assoc. Adv. Sci., Washington, DC.","0036-8075","N","N","N"
"SCM Not.","SCM Noticies","","Soc. Catalana Mat., Barcelona.","1696-8247","N","N","N"
"Scott. Grad. Ser.","Scottish Graduate Series","","Springer, Cham.","2199-4617","N","N","Y"
"SDI-SOR Serija","SDI-SOR Serija","SDI-SOR Series","Slov. Drus. INFORM./Slov. Soc. INFORM., Ljubljana.","","Y","N","Y"
"Sel. Works Probab. Stat.","Selected Works in Probability and Statistics","","Springer, New York.","2197-5825","N","N","Y"
"Selecta Math. (N.S.)","Selecta Mathematica. New Series","","Birkhauser Verlag, Basel.","1022-1824","N","Y","N"
"Self-Teach. Guides Math.","Self-Teaching Guides on Mathematics","","Wiley, New York.","","Y","N","Y"
"Sem. Lothar. Combin.","Seminaire Lotharingien de Combinatoire","","Univ. Louis Pasteur, Strasbourg.","1286-4889","N","Y","N"
"Sem. Math. (N. S.)","Seminaire de Mathematique (Nouvelle Serie)","Mathematics Seminar (New Series)","Univ. Catholique Louvain, Louvain-la-Neuve.","","Y","N","Y"
"Sem. Math. Sci.","Seminar on Mathematical Sciences","","Keio Univ., Yokohama.","1880-6511","N","N","Y"
"SeMA J.","SeMA Journal. Boletin de la Sociedad Espannola de Matematica Aplicada","","Soc. Esp. Mat. Apl., Madrid.","2254-3902","N","N","N"
"SEMA SIMAI Springer Ser.","SEMA SIMAI Springer Series","","Springer, Cham.","2199-3041","N","N","Y"
"Semigroup Forum","Semigroup Forum","","Springer, New York.","0037-1912","N","Y","N"
"Semin. Congr.","Seminaires et Congres","Seminars and Congresses","Soc. Math. France, Paris.","1285-2783","N","N","Y"
"Semin. Equ. Deriv. Partielles","Seminaire: Equations aux Derivees Partielles","Seminar: Partial Differential Equations","Ecole Polytech., Palaiseau.","","N","N","Y"
"Semin. I. Vekua Inst. Appl. Math. Rep.","Seminar of Ilia Vekua Institute of Applied Mathematics. Reports","","Tbilisi Univ. Press, Tbilisi.","1512-0058","N","N","N"
"Seminaires","Seminaires","Seminars","Cite Sci. Indust. Villette, Paris.","","Y","N","Y"
"SemStat Elem.","SemStat Elements","","Cambridge Univ. Press, Cambridge.","2514-3778","Y","N","Y"
"Sequential Anal.","Sequential Analysis. Design Methods & Applications","","Taylor & Francis, Philadelphia, PA.","0747-4946","N","N","N"
"Ser. Adv. Math. Appl. Sci.","Series on Advances in Mathematics for Applied Sciences","","World Sci. Publ., Hackensack, NJ.","1793-0901","N","N","Y"
"Ser. Anal.","Series in Analysis","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Ser. Anal. Appl. Comput.","Series on Analysis, Applications and Computation","","World Sci. Publ., Hackensack, NJ.","1793-4702","N","N","Y"
"Ser. Appl. Comput. Math.","Series in Applied and Computational Mathematics","","World Sci. Publ., Hackensack, NJ.","2010-2739","N","N","Y"
"Ser. Appl. Math.","Series on Applied Mathematics","","World Sci. Publ., Hackensack, NJ.","1793-0928","N","N","Y"
"Ser. Cient.","Serie Cientifica","Scientific Series","Valencia 2000, Valencia.","","Y","N","Y"
"Ser. Coding Theory Cryptol.","Series on Coding Theory and Cryptology","","World Sci. Publ., Hackensack, NJ.","1793-2238","N","N","Y"
"Ser. Complex. Nonlinearity Chaos","Series on Complexity, Nonlinearity and Chaos","","World Sci. Publ., Hackensack, NJ.","2010-0019","N","N","Y"
"Ser. Complex. Sci.","Series on Complexity Science","","World Sci. Publ., Hackensack, NJ.","1755-7453","N","N","Y"
"Ser. Comput. Vis.","Series in Computer Vision","","World Sci. Publ., Hackensack, NJ.","2010-2143","N","N","Y"
"Ser. Concr. Appl. Math.","Series on Concrete and Applicable Mathematics","","World Sci. Publ., Hackensack, NJ.","1793-1142","N","N","Y"
"Ser. Contemp. Appl. Math. CAM","Series in Contemporary Applied Mathematics CAM","","World Sci. Publishing, Singapore.","2010-2259","N","N","Y"
"Ser. Contemp. Math.","Series in Contemporary Mathematics","","Springer, Heidelberg.","2364-009X","N","N","Y"
"Ser. Electr. Comput. Eng.","Series in Electrical and Computer Engineering","","Imp. Coll. Press, London.","","N","N","Y"
"Ser. Internat. Bus. Econom.","Series in International Business and Economics","","Pergamon, Oxford.","","Y","N","Y"
"Ser. Knots Everything","Series on Knots and Everything","","World Sci. Publ., Hackensack, NJ.","0219-9769","N","N","Y"
"Ser. Konf. (Wroc.)","Seria: Konferencje","Series: Conferences","Oficyna Wydawn. Politech. Wroclaw., Wroclaw.","0324-9794","Y","N","Y"
"Ser. Mat. Fis.","Serie di Matematica e Fisica","Mathematics and Physics Series","Liguori, Naples.","","Y","N","Y"
"Ser. Modern Condensed Matter Phys.","Series in Modern Condensed Matter Physics","","World Sci. Publ., River Edge, NJ.","","Y","N","Y"
"Ser. Multivariate Anal.","Series on Multivariate Analysis","","World Sci. Publ., Hackensack, NJ.","1793-1169","N","N","Y"
"Ser. Number Theory Appl.","Series on Number Theory and its Applications","","World Sci. Publ., Hackensack, NJ.","1793-3161","N","N","Y"
"Ser. Opt. Optoelectron.","Series in Optics and Optoelectronics","","CRC Press, Boca Raton, FL.","","N","N","Y"
"Ser. Optim. Appl.","Series on Optimization and its Applications","","World Sci. Publ., Hackensack, NJ.","2399-1593","N","N","Y"
"Ser. Pure Appl. Math.","Series on the Pure and Applied Mathematics","","Sci. Press Beijing, New York.","","Y","N","Y"
"Ser. Pure Math.","Series in Pure Mathematics","","World Sci. Publ., Hackensack, NJ.","1793-1185","N","N","Y"
"Ser. Quant. Financ.","Series in Quantitative Finance","","World Sci. Publ., Hackensack, NJ.","1756-1604","Y","N","Y"
"Ser. Real Anal.","Series in Real Analysis","","World Sci. Publ., Hackensack, NJ.","1793-1134","N","N","Y"
"Ser. Soft Condens. Matter","Series in Soft Condensed Matter","","World Sci. Publ., Hackensack, NJ.","1793-737X","Y","N","Y"
"Ser. Stab. Vib. Control Syst. Ser. A","Series on Stability, Vibration and Control of Systems. Series A: Textbooks, Monographs and Treatises","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Ser. Students Texts Contemp. Biology","A Series of Student Texts in Contemporary Biology","","Edward Arnold, Baltimore, MD.","","Y","N","Y"
"Ser. Syst. Autom.","Serie Systemes Automatises","Automated Systems Series","Hermes Sci. /Lavoisier, Paris.","2261-1088","N","N","Y"
"Ser. T","La Serie T","The T Series","Soc. Math. France, Paris.","2109-7186","N","N","Y"
"Ser. Theor. Comput. Sci.","Series on Theoretical Computer Science","","World Sci. Publ., Hackensack, NJ.","1793-849X","N","N","Y"
"Ser. Univ. Math.","Series on University Mathematics","","World Sci. Publ., Hackensack, NJ.","","N","N","Y"
"Serdica J. Comput.","Serdica Journal of Computing","","Bulgarian Acad. Sci., Sofia.","1312-6555","N","N","N"
"Serdica Math. J.","Serdica. Mathematical Journal. Serdika. Matematichesko Spisanie","","Bulgarian Acad. Sci., Sofia.","1310-6600","N","Y","N"
"Set-Valued Var. Anal.","Set-Valued and Variational Analysis","","Springer, Dordrecht.","1877-0533","N","Y","N"
"Shaanxi Shifan Daxue Xuebao","","","","","Y","N","N"
"Shandong Daxue Xuebao Lixue Ban","","","","","Y","N","N"
"Shanghai Daxue Xuebao Ziran Kexue Ban","","","","","Y","N","N"
"Shanghai Jiaotong Daxue Xuebao","","","","","Y","N","N"
"Shengwu Shuxue Xuebao","","","","","Y","N","N"
"Shiyan Wulixue Congshu","Shiyan Wulixeu Congshu","Experimental Physics Series","Kexue Chubanshe (Science Press), Beijing.","","Y","N","Y"
"Shock Wave High Press. Phenom.","Shock Wave and High Pressure Phenomena","","Springer, Cham.","2197-9529","N","N","Y"
"Short Textb. Log.","Short Textbooks in Logic","","Springer, Cham.","2522-5480","Y","N","Y"
"Shuxue Jikan","","","","","Y","N","N"
"Shuxue Jinzhan","","","","","Y","N","N"
"Shuxue Lilun Yingyong","","","","","Y","N","N"
"Shuxue Niankan A Ji","","","","","Y","N","N"
"Shuxue Niankan B Ji","","","","","Y","N","N"
"Shuxue Shijian Renshi","","","","","Y","N","N"
"Shuxue Wuli Xuebao","","","","","Y","N","N"
"Shuxue Xuebao","","","","","Y","N","N"
"Shuxue Yanjiu","","","","","Y","N","N"
"Shuxue Zazhi","","","","","Y","N","N"
"SIAM J. Appl. Algebra Geom.","SIAM Journal on Applied Algebra and Geometry","","SIAM, Philadelphia, PA.","2470-6566","N","Y","N"
"SIAM J. Appl. Dyn. Syst.","SIAM Journal on Applied Dynamical Systems","","SIAM, Philadelphia, PA.","1536-0040","N","Y","N"
"SIAM J. Appl. Math.","SIAM Journal on Applied Mathematics","","SIAM, Philadelphia, PA.","0036-1399","N","Y","N"
"SIAM J. Comput.","SIAM Journal on Computing","","SIAM, Philadelphia, PA.","0097-5397","N","Y","N"
"SIAM J. Control Optim.","SIAM Journal on Control and Optimization","","SIAM, Philadelphia, PA.","0363-0129","N","Y","N"
"SIAM J. Discrete Math.","SIAM Journal on Discrete Mathematics","","SIAM, Philadelphia, PA.","0895-4801","N","Y","N"
"SIAM J. Financial Math.","SIAM Journal on Financial Mathematics","","SIAM, Philadelphia, PA.","1945-497X","N","Y","N"
"SIAM J. Imaging Sci.","SIAM Journal on Imaging Sciences","","SIAM, Philadelphia, PA.","1936-4954","N","Y","N"
"SIAM J. Math. Anal.","SIAM Journal on Mathematical Analysis","","SIAM, Philadelphia, PA.","0036-1410","N","Y","N"
"SIAM J. Matrix Anal. Appl.","SIAM Journal on Matrix Analysis and Applications","","SIAM, Philadelphia, PA.","0895-4798","N","Y","N"
"SIAM J. Numer. Anal.","SIAM Journal on Numerical Analysis","","SIAM, Philadelphia, PA.","0036-1429","N","Y","N"
"SIAM J. Optim.","SIAM Journal on Optimization","","SIAM, Philadelphia, PA.","1052-6234","N","Y","N"
"SIAM J. Sci. Comput.","SIAM Journal on Scientific Computing","","SIAM, Philadelphia, PA.","1064-8275","N","Y","N"
"SIAM News","SIAM News","","SIAM, Philadelphia, PA.","1557-9573","Y","N","N"
"SIAM Rev.","SIAM Review","","SIAM, Philadelphia, PA.","0036-1445","N","Y","N"
"SIAM Spotlights","SIAM Spotlights","","SIAM, Philadelphia, PA.","","N","N","Y"
"SIAM/ASA J. Uncertain. Quantif.","SIAM/ASA Journal on Uncertainty Quantification","","SIAM, Philadelphia, PA.","2166-2525","N","Y","N"
"Siauliai Math. Semin.","Siauliai Mathematical Seminar","","Siauliai Univ. Publ. House, Siauliai.","1822-511X","N","Y","N"
"Sib. Elektron. Mat. Izv.","Sibirskie Elektronnye Matematicheskie Izvestiya. Siberian Electronic Mathematical Reports","","Ross. Akad. Nauk Sib. Otd., Inst. Mat., Novosibirsk.","1813-3304","N","Y","N"
"Sib. Math. J.","Siberian Mathematical Journal","","Pleiades Publishing, Ltd., Road Town.","0037-4466","N","N","N"
"Sib. Zh. Chist. Prikl. Mat.","Sibirskii Zhurnal Chistoi i Prikladnoi Matematiki","","Izd. Nauchno-Tekh. Literat., Novosib. Gos. Univ,, Novosibirsk.","2411-3468","N","N","N"
"Sib. Zh. Ind. Mat.","Sibirskii Zhurnal Industrialnoi Matematiki","","Ross. Akad. Nauk Sib. Otd., Inst. Mat., Novosibirsk.","1560-7518","N","N","N"
"Sib. Zh. Vychisl. Mat.","Sibirskii Zhurnal Vychislitelnoi Matematiki. Siberian Journal of Numerical Mathematics. Rossiiskaya Akademiya Nauk. Sibirskoe Otdelenie","","Izdat. Ross. Akad. Nauk Sibirsk. Otdel., Novosibirsk.","1560-7526","N","N","N"
"Siberian Adv. Math.","Siberian Advances in Mathematics","","Allerton Press, New York.","1055-1344","N","N","N"
"Sibirsk. Mat. Zh.","Rossiiskaya Akademiya Nauk. Sibirskoe Otdelenie. Institut Matematiki im. S. L. Soboleva. Sibirskii Matematicheskii Zhurnal","","Izdat. Ross. Akad. Nauk Sib. Otd. Inst. Mat., Novosibirsk.","0037-4474","N","Y","N"
"Sichuan Daxue Xuebao Gongcheng Kexue Ban","","","","","Y","N","N"
"SIGMA Symmetry Integrability Geom. Methods Appl.","SIGMA. Symmetry, Integrability and Geometry. Methods and Applications","","Natl. Acad. Sci. Ukr., Inst. Math., Dep. Appl. Res., Kiev.","1815-0659","N","Y","N"
"Signals Commun. Technol.","Signals and Communication Technology","","Springer, Cham.","1860-4862","N","N","Y"
"SIGPLAN Notices","SIGPLAN Notices","","ACM, New York.","","Y","N","Y"
"SILFS Ser.","Italian Society for Logic and Philosophy of Science SILFS Series","","Coll. Publ., London.","","N","N","Y"
"Simons Symp.","Simons Symposia","","Springer, Cham.","2365-9564","N","N","Y"
"Simula SpringerBriefs Comput.","Simula SpringerBriefs on Computing","","Springer, Cham.","","N","N","Y"
"Sitzungsber. Akad. Wiss. DDR Math. Naturwiss. Tech. Jahrg. 1976","Sitzungsberichte der Akademie der Wissenschaften der DDR, Mathematik---Naturwissenschaften---Technik, Jahrgang 1976","Proceedings of the Academy of Sciences of the DDR, Mathematics---Sciences--Technology, 1976","Akademie-Verlag, Berlin.","","N","N","Y"
"Sitzungsber. Sachsischen Akad. Wissenschaft. Leipzig. Math. Nat. Sci. Sect. Band 116","Sitzungsberichte der Sachsischen Akademie der Wissenschaften zu Leipzig. Mathematisch-naturwissenschaftliche Klasse. Band 116","Reports of the Saxonian Academy of Sciences in Leipzig. Mathematics and Natural Sciences Section. Vol. 116","Akademie-Verlag, Berlin.","","Y","N","Y"
"SMAI J. Comput. Math.","SMAI Journal of Computational Mathematics","","Soc. Math. Appl. Indust., Paris.","2426-8399","N","N","N"
"Smart Innov. Syst. Technol.","Smart Innovation, Systems and Technologies","","Springer, Cham.","2190-3018","Y","N","Y"
"SMF Journ. Annu.","SMF Journee Annuelle","SMF Annual Conference","Soc. Math. France, Paris.","","N","N","Y"
"Soc. Choice Welf.","Social Choice and Welfare","","Springer, Berlin.","0176-1714","N","N","N"
"Sociol. Methods Res.","Sociological Methods & Research","","Sage, Thousand Oaks, CA.","0049-1241","N","N","N"
"Sociol. Sci. Yearbook","Sociology of the Sciences. Yearbook","","Reidel, Dordrecht.","","Y","N","Y"
"Soft Biol. Matter","Soft and Biological Matter","","Springer, Dordrecht.","2213-1736","N","N","Y"
"Software Environ. Tools","Software, Environments, and Tools","","SIAM, Philadelphia, PA.","","N","N","Y"
"Solid Mech. Appl.","Solid Mechanics and its Applications","","Springer, Cham.","0925-0042","N","N","Y"
"Sophia Stud. Cross-Cult. Philos. Tradit. Cult.","Sophia Studies in Cross-Cultural Philosophy of Traditions and Cultures","","Springer, New Delhi.","2211-1107","Y","N","Y"
"SORT","SORT. Statistics and Operations Research Transactions","","Inst. Estad. Catalunya, Barcelona.","1696-2281","N","Y","N"
"Sources Stud. Hist. Math. Phys. Sci.","Sources and Studies in the History of Mathematics and Physical Sciences","","Springer, Cham.","2196-8810","N","N","Y"
