"Abbrev","Full Title","Trnsl. Title","Publ.","ISSN","New","Cover-to-cover","Book Ser"
"Analog Circuits Signal Process.","Analog Circuits and Signal Processing","","Springer, Cham.","1872-082X","N","N","Y"
"Analysis (Berlin)","Analysis. International Mathematical Journal of Analysis and its Applications","","Oldenbourg Verlag, Munich.","0174-4747","N","Y","N"
"Analysis (Oxford)","Analysis","","Oxford Univ. Press, Oxford.","0003-2638","N","N","N"
"Anc. Mediterr. Mediev. Texts Contexts","Ancient Mediterranean and Medieval Texts and Contexts","","Brill, Leiden.","","N","N","Y"
"Anhui Daxue Xuebao. Ziran Kexue Ban","","","","","Y","N","N"
"Ann. Acad. Rom. Sci. Ser. Math. Appl.","Annals of the Academy of Romanian Scientists. Series on Mathematics and its Applications","","Ed. Acad. Oamen. Stiinta Rom., Bucharest.","2066-5997","N","Y","N"
"Ann. Acad. Sci. Fenn. Math.","Annales Academiae Scientiarum Fennicae. Mathematica","","Acad. Sci. Fennica, Helsinki.","1239-629X","N","Y","N"
"Ann. Acad. Sci. Fenn. Math. Diss.","Academiae Scientiarum Fennicae. Annales. Mathematica. Dissertationes","","Acad. Sci. Fennica, Helsinki.","1239-6303","N","N","N"
"Ann. Appl. Math.","Annals of Applied Mathematics. Yingyong Shuxue Niankan","","Fuzhou Univ., Fuzhou.","2096-0174","N","Y","N"
"Ann. Appl. Probab.","The Annals of Applied Probability","","Inst. Math. Statist., Bethesda, MD.","1050-5164","N","Y","N"
"Ann. Appl. Stat.","The Annals of Applied Statistics","","Inst. Math. Statist., Beachwood, OH.","1932-6157","N","Y","N"
"Ann. Comb.","Annals of Combinatorics","","Birkhauser Verlag, Basel.","0218-0006","N","Y","N"
"Ann. Fac. Sci. Toulouse Math. (6)","Annales de la Faculte des Sciences de Toulouse. Mathematiques. Serie 6","","Univ. Paul Sabatier, Toulouse.","0240-2963","N","Y","N"
"Ann. Finance","Annals of Finance","","Springer, Berlin.","1614-2446","N","N","N"
"Ann. Fond. Louis de Broglie","Fondation Louis de Broglie. Annales","","Fond. Louis de Broglie, Paris.","0182-4295","N","N","N"
"Ann. Funct. Anal.","Annals of Functional Analysis","","Tusi Math. Res. Group (TMRG), Mashhad.","2008-8752","N","Y","N"
"Ann. Fuzzy Math. Inform.","Annals of Fuzzy Mathematics and Informatics","","Wonkwang Univ., Res. Inst. Basic Sci., Iksan.","2093-9310","N","N","N"
"Ann. Global Anal. Geom.","Annals of Global Analysis and Geometry","","Springer, Dordrecht.","0232-704X","N","Y","N"
"Ann. Henri Poincare","Annales Henri Poincare. A Journal of Theoretical and Mathematical Physics","","Birkhauser Verlag, Basel.","1424-0637","N","N","N"
"Ann. I.S.U.P.","Annales de l'I.S.U.P.","","Univ. Pierre et Marie Curie (Paris VI), Paris.","1626-1607","N","N","N"
"Ann. Inst. Fourier (Grenoble)","Universite de Grenoble. Annales de l'Institut Fourier","","Univ. Grenoble I, Saint-Martin-d'Heres.","0373-0956","N","Y","N"
"Ann. Inst. H. Poincare Anal. Non Lineaire","Annales de l'Institut Henri Poincare. Analyse Non Lineaire","","Elsevier Sci. B. V., Amsterdam.","0294-1449","N","Y","N"
"Ann. Inst. Henri Poincare D","Annales de l'Institut Henri Poincare D. Combinatorics, Physics and their Interactions","","Eur. Math. Soc., Zurich.","2308-5827","N","Y","N"
"Ann. Inst. Henri Poincare Probab. Stat.","Annales de l'Institut Henri Poincare Probabilites et Statistiques","","Inst. Henri Poincare, Paris.","0246-0203","N","Y","N"
"Ann. Inst. Statist. Math.","Annals of the Institute of Statistical Mathematics","","Springer, Tokyo.","0020-3157","N","Y","N"
"Ann. Internat. Soc. Dynam. Games","Annals of the International Society of Dynamic Games","","Birkhauser/Springer, Cham.","2474-0179","N","N","Y"
"Ann. Japan Assoc. Philos. Sci.","Annals of the Japan Association for Philosophy of Science","","Japan Assoc. Philos. Sci., Tokyo.","0453-0691","N","N","N"
"Ann. K-Theory","Annals of K-Theory","","Math. Sci. Publ., Berkeley, CA.","2379-1683","N","Y","N"
"Ann. Mat. Pura Appl. (4)","Annali di Matematica Pura ed Applicata. Series IV","","Springer, Berlin.","0373-3114","N","Y","N"
"Ann. Math. Artif. Intell.","Annals of Mathematics and Artificial Intelligence","","Springer, Dordrecht.","1012-2443","N","N","N"
"Ann. Math. Blaise Pascal","Annales Mathematiques Blaise Pascal","","Univ. Blaise Pascal, Lab. Math., Aubiere.","1259-1734","N","Y","N"
"Ann. Math. Inform.","Annales Mathematicae et Informaticae","","Eszterhazy Karoly Coll., Eger.","1787-5021","N","N","N"
"Ann. Math. Que.","Annales Mathematiques du Quebec","","Springer, Berlin.","2195-4755","N","Y","N"
"Ann. Math. Sci. Appl.","Annals of Mathematical Sciences and Applications","","Int. Press, Somerville, MA.","2380-288X","N","N","N"
"Ann. Math. Sil.","Annales Mathematicae Silesianae","","Wydawn. Uniw. Slaskiego, Katowice.","0860-2107","N","Y","N"
"Ann. of Math. (2)","Annals of Mathematics. Second Series","","Princeton Univ. Press, Princeton, NJ.","0003-486X","N","Y","N"
"Ann. of Math. Stud.","Annals of Mathematics Studies","","Princeton Univ. Press, Princeton, NJ.","","N","N","Y"
"Ann. of Sci.","Annals of Science","","Taylor & Francis, Abingdon.","0003-3790","N","N","N"
"Ann. Oper. Res.","Annals of Operations Research","","Springer, New York.","0254-5330","N","N","N"
"Ann. PDE","Annals of PDE. Journal Dedicated to the Analysis of Problems from Physical Sciences","","Springer, Berlin.","2199-2576","N","Y","N"
"Ann. Phys.","Annalen der Physik","","WILEY-VCH, Weinheim.","0003-3804","N","N","N"
"Ann. Physics","Annals of Physics","","Elsevier, Inc., Amsterdam.","0003-4916","N","N","N"
"Ann. Polon. Math.","Annales Polonici Mathematici","","Polish Acad. Sci. Inst. Math., Warsaw.","0066-2216","N","Y","N"
"Ann. Probab.","The Annals of Probability","","Inst. Math. Statist., Bethesda, MD.","0091-1798","N","Y","N"
"Ann. Pure Appl. Logic","Annals of Pure and Applied Logic","","Elsevier, Inc., Amsterdam.","0168-0072","N","Y","N"
"Ann. Rev. Automat. Programming","Annual Review in Automatic Programming","","Pergamon, Oxford.","","Y","N","Y"
"Ann. Rev. Nuclear Particle Sci.","Annual Review of Nuclear and Particle Science","","Annual Reviews, Palo Alto, CA.","0163-8998","Y","N","Y"
"Ann. Sc. Norm. Super. Pisa Cl. Sci. (5)","Annali della Scuola Normale Superiore di Pisa. Classe di Scienze. Serie V","","Scuola Norm. Sup., Pisa.","0391-173X","N","Y","N"
"Ann. Sci. Ec. Norm. Super. (4)","Annales Scientifiques de l'Ecole Normale Superieure. Quatrieme Serie","","Soc. Math. France, Paris.","0012-9593","N","Y","N"
"Ann. Statist.","The Annals of Statistics","","Inst. Math. Statist., Bethesda, MD.","0090-5364","N","Y","N"
"Ann. Tiberiu Popoviciu Semin. Funct. Equ. Approx. Convexity","Annals of the Tiberiu Popoviciu Seminar of Functional Equations, Approximation and Convexity","","Mediamira Sci. Publ., Cluj-Napoca.","1584-4536","N","N","N"
"Ann. Univ. Buchar. Math. Ser.","Annals of the University of Bucharest. Mathematical Series","","Univ. Bucharest, Fac. Math. Comput. Sci., Bucharest.","2067-9009","N","Y","N"
"Ann. Univ. Ferrara Sez. VII Sci. Mat.","Annali dell'Universita di Ferrara. Sezione VII. Scienze Matematiche","","Springer Italia, Milan.","0430-3202","N","Y","N"
"Ann. Univ. Mariae Curie-Sklodowska Sect. A","Annales. Universitatis Mariae Curie-Sklodowska. Sectio A. Mathematica","","Uniw. Marii Curie-Sklodowskiej, Lublin.","0365-1029","N","Y","N"
"Ann. Univ. Mariae Curie-Sklodowska Sect. AI-Inform.","Annales Universitatis Mariae Curie-Sklodowska. Sectio AI. Informatica","","Wydawnictwo Uniwersytet Mariae Curie-Sklodowskiej, Lublin.","1732-1360","N","N","N"
"Ann. Univ. Paedagog. Crac. Stud. Math.","Annales Universitatis Paedagogicae Cracoviensis. Studia Mathematica","","Wydawn. Nauk. Uniw. Pedagog., Krakow.","2081-545X","N","N","N"
"Ann. Univ. Sci. Budapest. Eotvos Sect. Math.","Annales Universitatis Scientiarum Budapestinensis de Rolando Eotvos Nominatae. Sectio Mathematica","","Eotvos Lorand Univ., Budapest.","0524-9007","N","Y","N"
"Ann. Univ. Sci. Budapest. Sect. Comput.","Annales Universitatis Scientiarum Budapestinensis de Rolando Eotvos Nominatae. Sectio Computatorica","","Eotvos Lorand Univ., Budapest.","0138-9491","N","Y","N"
"Anneli Lax New Math. Libr.","Anneli Lax New Mathematical Library","","Math. Assoc. America, Washington, DC.","","N","N","Y"
"Annu. Rev. Control","Annual Reviews in Control","","Elsevier B. V., Amsterdam.","1367-5788","Y","N","N"
"Annu. Rev. Fluid Mech.","Annual Review of Fluid Mechanics","","Annual Reviews, Palo Alto, CA.","0066-4189","N","N","Y"
"Annu. Rev. Stat. Appl.","Annual Review of Statistics and its Application","","Annual Reviews, Palo Alto, CA.","2326-8298","Y","N","N"
"Anticip. Sci.","Anticipation Science","","Springer, Cham.","2522-039X","Y","N","Y"
"Antiq. Math.","Antiquitates Mathematicae. Roczniki Polskiego Towarzystwa Matematycznego. Seria VI","","Polsk. Tow. Mat., Warsaw.","1898-5203","N","N","N"
"Anwend.orientier. Math.","Anwendungsorientierte Mathematik","Applications-Oriented Mathematics","Springer, Berlin.","","Y","N","Y"
"Anz. Osterr. Akad. Wiss. Philos.-Hist. Kl.","Anzeiger. Osterreichische Akademie der Wissenschaften. Philosophisch-Historiche Klasse","Anzeiger. Austrian Academy of Sciences. Philosophical-Historical Class","Osterreich. Akad. Wiss., Vienna.","0378-8652","Y","N","Y"
"ANZIAM J.","The ANZIAM Journal. The Australian & New Zealand Industrial and Applied Mathematics Journal","","Cambridge Univ. Press, Cambridge.","1446-1811","N","Y","N"
"Apercu","Apercu","Preview","EDP Sci., [place of publication not identified].","","N","N","Y"
"Aportaciones Mat.","Aportaciones Matematicas","Mathematical Contributions","Soc. Mat. Mexicana, Mexico.","","N","N","Y"
"Aportaciones Mat. Comun.","Aportaciones Matematicas: Comunicaciones","Mathematical Contributions: Communications","Inst. Mat. , UNAM, Mexico.","1870-2112","N","N","Y"
"Aportaciones Mat. Investig.","Aportaciones Matematicas: Investigacion","Mathematical Contributions: Research","Soc. Mat. Mexicana, Mexico.","","N","N","Y"
"Appl. Algebra Engrg. Comm. Comput.","Applicable Algebra in Engineering, Communication and Computing","","Springer, Heidelberg.","0938-1279","N","Y","N"
"Appl. Anal.","Applicable Analysis. An International Journal","","Taylor & Francis, Abingdon.","0003-6811","N","Y","N"
"Appl. Anal. Discrete Math.","Applicable Analysis and Discrete Mathematics","","Univ. Belgrade, Belgrade.","1452-8630","N","Y","N"
"Appl. Anal. Optim.","Applied Analysis and Optimization","","Yokohama Publ., Yokohama.","2432-1656","Y","N","N"
"Appl. Appl. Math.","Applications and Applied Mathematics. An International Journal (AAM)","","Prairie View A & M Univ., Prairie View, TX.","1932-9466","N","N","N"
"Appl. Categ. Structures","Applied Categorical Structures. A Journal Devoted to Applications of Categorical Methods in Algebra, Analysis, Order, Topology and Computer Science","","Springer, Dordrecht.","0927-2852","N","Y","N"
"Appl. Comput. Harmon. Anal.","Applied and Computational Harmonic Analysis. Time-Frequency and Time-Scale Analysis, Wavelets, Numerical Algorithms, and Applications","","Elsevier, Inc., Amsterdam.","1063-5203","N","Y","N"
"Appl. Comput. Math.","Applied and Computational Mathematics. An International Journal","","Baku State Univ., Inst. Appl. Math., Baku.","1683-3511","N","Y","N"
"Appl. Comput. Sci.","Applied Computer Science. Berichte zur Praktischen Informatik","Applied Computer Science. Reports on Practical Information Science","Hanser, Munich.","","Y","N","Y"
"Appl. Gen. Topol.","Applied General Topology","","Univ. Politec. Valencia, Valencia.","1576-9402","N","Y","N"
"Appl. Manag. Sci.","Applications of Management Science","","Elsevier Sci. B. V., Amsterdam.","0276-8976","Y","N","Y"
"Appl. Math.","Applications of Mathematics","","Acad. Sci. Czech Repub. Inst. Math., Prague.","0862-7940","N","Y","N"
"Appl. Math. Comput.","Applied Mathematics and Computation","","Elsevier, Inc., New York.","0096-3003","N","N","N"
"Appl. Math. E-Notes","Applied Mathematics E-Notes","","Appl. Math. E-Notes, Hsinchu.","1607-2510","N","Y","N"
"Appl. Math. Finance","Applied Mathematical Finance","","Routledge Journals, Taylor & Francis, Ltd., Abingdon.","1350-486X","N","N","N"
"Appl. Math. Inf. Sci.","Applied Mathematics & Information Sciences","","Natural Sciences Publishing Co., New York.","1935-0090","N","N","N"
"Appl. Math. Inform. Mech.","Applied Mathematics, Informatics and Mechanics","","I. Javakhishvili Tbilisi State Univ., I. Vekua Inst. Appl. Math., Tbilisi.","1512-0074","N","N","N"
"Appl. Math. J. Chinese Univ. Ser. A","Applied Mathematics. A Journal of Chinese Universities. Series A. Gaoxiao Yingyong Shuxue Xuebao","","Appl. Math. J. Chinese Univ., Editor. Comm., Hangzhou.","1000-4424","N","Y","N"
"Appl. Math. J. Chinese Univ. Ser. B","Applied Mathematics. A Journal of Chinese Universities. Ser. B","","Appl. Math. J. Chinese Univ., Editor. Comm., Hangzhou.","1005-1031","N","N","N"
"Appl. Math. Lett.","Applied Mathematics Letters. An International Journal of Rapid Publication","","Elsevier Ltd, Oxford.","0893-9659","N","Y","N"
"Appl. Math. Mech. (English Ed.)","Applied Mathematics and Mechanics. English Edition","","Shanghai Univ., Shanghai.","0253-4827","N","N","N"
"Appl. Math. Model.","Applied Mathematical Modelling. Simulation and Computation for Engineering and Environmental Systems","","Elsevier, Inc., Amsterdam.","0307-904X","N","N","N"
"Appl. Math. Nonlinear Sci.","Applied Mathematics and Nonlinear Sciences","","Sciendo, Warsaw.","2444-8656","Y","N","N"
"Appl. Math. Optim.","Applied Mathematics and Optimization","","Springer, New York.","0095-4616","N","Y","N"
"Appl. Math. Sci.","Applied Mathematical Sciences","","Springer, Cham.","0066-5452","N","N","Y"
"Appl. Math. (Warsaw)","Applicationes Mathematicae","","Polish Acad. Sci. Inst. Math., Warsaw.","1233-7234","N","Y","N"
"Appl. Modern Tech. Business","Applications of Modern Technology in Business","","Plenum, New York.","","Y","N","Y"
"Appl. Numer. Harmon. Anal.","Applied and Numerical Harmonic Analysis","","Birkhauser/Springer, Cham.","2296-5009","N","N","Y"
"Appl. Numer. Math.","Applied Numerical Mathematics. An IMACS Journal","","Elsevier B. V., Amsterdam.","0168-9274","N","N","N"
"Appl. Optim.","Applied Optimization","","Springer, New York.","1384-6485","N","N","Y"
"Appl. Quant. Finance","Applied Quantitative Finance","","Palgrave Macmillan, Cham.","","Y","N","Y"
"Appl. Sci.","APPS. Applied Sciences","","Balkan Soc. Geometers, Bucharest.","1454-5101","N","N","N"
"Appl. Sci. Eng.","Applied Sciences and Engineering","","Springer, New Delhi.","2363-4995","N","N","Y"
"Appl. Sci. Monogr.","Applied Sciences. Monographs","","Geom. Balkan Press, Bucharest.","","N","N","Y"
"Appl. Soc. Res. Methods Ser.","Applied Social Research Methods Series","","Sage, Newbury Park, CA.","","Y","N","Y"
"Appl. Stoch. Methods Ser.","Applied Stochastic Methods Series","","ISTE, London.","","N","N","Y"
"Appl. Stoch. Models Bus. Ind.","Applied Stochastic Models in Business and Industry","","Wiley, Chichester.","1524-1904","N","N","N"
"Approaches Semiotics","Approaches to Semiotics","","Mouton de Gruyter, Berlin.","","Y","N","Y"
"Appunti. Sc. Norm. Super. Pisa (N. S.)","Appunti. Scuola Normale Superiore di Pisa (Nuova Serie)","Lecture Notes. Scuola Normale Superiore di Pisa (New Series)","Ed. Norm., Pisa.","","N","N","Y"
"Arab J. Math. Sci.","Arab Journal of Mathematical Sciences","","Saudi Assoc. Math. Sci., Riyadh.","1319-5166","N","Y","N"
"Arab. J. Math. (Springer)","Arabian Journal of Mathematics","","Springer, Berlin.","2193-5343","N","Y","N"
"Arabic Sci. Philos.","Arabic Sciences and Philosophy. A Historical Journal","","Cambridge Univ. Press, Cambridge.","0957-4239","N","N","N"
"Arbeitsber. Inst. Math. Masch. Datenverarb., Band 15","Arbeitsberichte des Instituts fur Mathematische Maschinen und Datenverarbeitung, Band 15","Reports of the Institut for Mathematical Machines and Data Processing, Vol. 15","Friedrich-Alexander-Univ., Erlangen.","","Y","N","Y"
"Arbor Scientiarum: Beitrage Wissenschaftsgeschichte, Reihe A: Abhandlungen","Arbor Scientiarum: Beitrage Wissenschaftsgeschichte, Reihe A: Abhandlungen","Arbor Scientiarum: Contributions to the History of Science, Series A: Proceedings","Gerstenberg, Hildesheim.","","Y","N","Y"
"Arch. Comput. Methods Eng.","Archives of Computational Methods in Engineering. State of the Art Reviews","","Springer, Dordrecht.","1134-3060","N","N","N"
"Arch. Control Sci.","Archives of Control Sciences. Polish Academy of Sciences. Committee of Automatic Control and Robotics","","Silesian Univ. Tech., Gliwice.","1230-2384","N","N","N"
"Arch. Hist. Exact Sci.","Archive for History of Exact Sciences","","Springer, Berlin.","0003-9519","N","Y","N"
"Arch. Math. (Basel)","Archiv der Mathematik","","Birkhauser Verlag, Basel.","0003-889X","N","Y","N"
"Arch. Math. (Brno)","Universitatis Masarykianae Brunensis. Facultas Scientiarum Naturalium. Archivum Mathematicum","","Masaryk Univ., Brno.","0044-8753","N","Y","N"
"Arch. Math. Logic","Archive for Mathematical Logic","","Springer, Berlin.","0933-5846","N","Y","N"
"Arch. Mech. (Arch. Mech. Stos.)","Polish Academy of Sciences. Institute of Fundamental Technological Research. Archives of Mechanics (Archiwum Mechaniki Stosowanej)","","Polish Acad. Sci. Inst. Fundam. Technol. Res., Warsaw.","0373-2029","N","N","N"
"Arch. Ration. Mech. Anal.","Archive for Rational Mechanics and Analysis","","Springer, Heidelberg.","0003-9527","N","Y","N"
"Archimedes","Archimedes: New Studies in the History and Philosophy of Science and Technology","","Springer, Berlin.","1385-0180","N","N","Y"
"Argum. Libr.","Argumentation Library","","Kluwer Acad. Publ., Dordrecht.","","N","N","Y"
"Argum. Libr.","Argumentation Library","","Springer, Cham.","1566-7650","Y","N","Y"
"ARIMA Rev. Afr. Rech. Inform. Math. Appl.","ARIMA. Revue Africaine de la Recherche en Informatique et Mathematiques Appliquees","","INRIA, Le Chesnay.","1638-5713","N","N","N"
"Ark. Mat.","Arkiv for Matematik","","Inst. Mittag-Leffler, Djursholm.","0004-2080","N","Y","N"
"Arkhimedes","Arkhimedes","","Finn. Phys. Soc., Helsinki.","0004-1920","N","N","N"
"Armen. J. Math.","Armenian Journal of Mathematics","","National Academy of Sciences of Armenia, Yerevan.","1829-1163","N","Y","N"
"Army Materials Tech. Conf. Ser.","Army Materials Technology Conference Series","","Plenum, New York.","","Y","N","Y"
